country,2005,2006,2007,2008,2009,2010,2011,2012
Jordan,9.07766,10.4554,12.22338,13.01016,13.41882,13.892,13.77,15.603
Kuwait,41.10996,44.75058,45.82782,48.64406,50.02304,53.60726,54.01,58.896
Lebanon,11.73978,10.9481,11.37678,12.57302,12.97606,14.81162,15.423,13.987
Oman,11.889,13.258,13.31698,14.87926,16.75362,18.009,20.073,23.769
Palestinian Territories,0.47,0.324,0.392,0.4,0.47,0.445,0.535,0.433
Qatar,13.532,16.055,18.294,20.319,22.709,26.455,28.886,32.7
Saudi Arabia,165.557,170.548,179.103,191.948,204.057,225.663,235.072,255.379
Syria,33.055,35.244,36.49716,38.70476,40.80248,43.75774,39.667,29.479
United Arab Emirates,57.056,62.762,74.035,77.065,82.91,88.332,93.208,100.526
Yemen,4.482,5.064,5.66538,6.15324,6.33936,7.29,5.834,6.185
Africa,533.61191,556.90867,581.8215,591.74053,594.20856,637.97216,657.78293,681.2466
Algeria,31.9074,33.12352,34.9758,37.83582,36.206,42.998,48.176,53.985
Angola,2.72998,3.24054,3.1488,4.06368,4.60554,5.307,5.512,5.475
Benin,0.10064,0.146,0.20798,0.21644,0.12138,0.14206,0.147,0.154
Botswana,0.81498,0.924,0.778,0.655,0.584,0.5,0.411,0.235
Burkina Faso,0.48947,0.51953,0.58152,0.58903,0.66442,0.537,0.502,0.522
Burundi,0.097,0.094,0.118,0.113,0.122,0.143,0.152,0.202
Cameroon,3.95208,5.03274,5.1258,5.55668,5.64124,5.7612,5.936,6.155
Cape Verde,0.222,0.236,0.253,0.27,0.281,0.303,0.307,0.307
Central African Republic,0.159,0.166,0.16,0.16,0.159,0.159,0.175,0.181
Chad,0.121,0.122,0.121,0.141,0.172,0.188,0.2,0.205
Comoros,0.045,0.048,0.044,0.043,0.041,0.041,0.043,0.043
Congo (Brazzaville),0.42432,0.44414,0.39968,0.484,0.52346,0.76,1.255,1.303
Congo (Kinshasa),7.32558,7.4638,7.77584,7.45124,7.7549,7.8069,7.802,7.885
Cote dIvoire (IvoryCoast),5.42178,5.39802,5.38986,5.55396,5.665,5.732,5.87,6.688
Djibouti,0.24,0.263,0.274,0.315,0.319,0.328,0.33,0.335
Egypt,102.83456,109.16624,118.44692,123.9842,131.37096,138.73,148.847,155.259
Equatorial Guinea,0.085,0.09,0.094,0.094,0.094,0.097,0.097,0.1
Eritrea,0.27078,0.25298,0.27084,0.2699,0.27742,0.29246,0.317,0.338
Ethiopia,2.81628,3.2354,3.50328,3.71608,3.93066,4.92944,6.2523,6.6323
Gabon,1.513,1.609,1.68,1.777,1.799,1.904,1.987,2.111
Gambia,0.191,0.203,0.215,0.227,0.227,0.23,0.23,0.235
Ghana,6.66246,8.2044,6.74594,8.13332,8.764,9.907,10.906,11.706
Guinea,0.881,0.843,0.942,0.967,0.962,0.919,0.95,0.971
Guinea-Bissau,0.06,0.062,0.06,0.06,0.06,0.06,0.055,0.05
Kenya,5.8623,6.32428,6.5196,6.59744,6.66626,7.32978,7.663,8.123
Lesotho,0.459,0.525,0.554,0.584,0.648,0.694,0.63,0.486
Liberia,0.2,0.2,0.25,0.25,0.25,0.25,0.3,0.3
Libya,21.312,23.269,24.66,28.878,29.182,30.788,25.957,31.941
Madagascar,1.111,1.134,1.184,1.232,1.235,1.184,1.267,2.025
Malawi,1.513,1.551,1.585,1.763,1.728,1.987,2.074,2.18
Mali,0.457,0.473,0.479,0.491,0.499,0.503,0.92,0.949
Mauritania,0.499,0.586,0.606,0.679,0.817,0.885,0.96,1.035
Mauritius,2.14507,2.21403,2.32117,2.41215,2.43239,2.5349,2.62579,2.663
Morocco,18.72854,19.14016,19.22538,19.50828,19.9071,22.4091,23.7851,25.3501
Mozambique,13.15074,14.5888,15.91422,14.97522,16.79322,16.49886,16.661,15.014
Namibia,1.67202,1.68964,1.6822,2.11708,1.68922,1.44556,1.585,1.796
Niger,0.219,0.206,0.209,0.212,0.239,0.273,0.31,0.355
Nigeria,22.515,22.036,21.91094,20.12966,18.81712,24.87218,25.706,27.266
Reunion,2.438,2.461,2.548,2.725,2.784,2.807,2.841,2.963
Rwanda,0.112,0.16,0.1582,0.1832,0.2382,0.2702,0.3002,0.3102
Saint Helena,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
Sao Tome and Principe,0.039,0.04,0.043,0.045,0.049,0.054,0.06,0.065
Senegal,2.275,2.281,2.46748,2.576,2.65786,2.803,2.857,3.148
Seychelles,0.217,0.237,0.255,0.253,0.259,0.283,0.304,0.316
Sierra Leone,0.078,0.039,0.057,0.135,0.129,0.166,0.145,0.145
Somalia,0.273,0.282,0.292,0.301,0.305,0.307,0.31,0.315
South Africa,227.94804,235.4671,245.58207,239.69407,230.63877,241.83594,243.27354,238.953
Sudan and South Sudan,4.169,4.828,5.3018,5.75842,6.773,7.869,8.781,9.711
Swaziland,0.39,0.417,0.435,0.413,0.458,0.496,0.415,0.425
