country,2005,2006,2007,2008,2009,2010,2011,2012
Middle East,515.62568,557.77668,587.00972,619.49463,659.23999,722.62581,747.02123,792.42919
Bahrain,7.92398,8.7323,10.10852,9.56402,10.05564,11.493,11.5555,11.6885
Iran,135.19698,146.07354,153.26264,162.10814,169.8304,182.7044,186.17318,195.322
Iraq,20.997,25.22542,20.12058,19.75297,30.19193,33.98628,39.601,44.878
Israel,42.63222,44.30702,47.05792,48.509,45.91754,49.45066,50.191,53.073
Jordan,8.52366,9.3944,10.38638,11.28616,11.63882,12.515,13.274,13.9
Kuwait,36.14296,39.31358,39.87682,42.13006,43.40804,46.71426,46.928,50.003
Lebanon,10.60778,10.3451,10.76678,11.45602,12.34206,14.18762,14.395,12.938
Oman,9.08,10.466,10.37698,12.00926,13.41362,14.982,17.231,20.359
Palestinian Territories,3.2991,3.39732,3.55256,4.236,4.4201,4.57285,5.11955,5.31169
Qatar,12.513,14.841,16.906,18.789,21.192,24.688,27.262,30.532
Saudi Arabia,146.978,156.75,163.413,174.236,186.092,204.275,211.564,231.599
Syria,25.623,27.272,28.47416,29.89676,29.62748,36.30174,33.496,25.703
United Arab Emirates,52.701,57.971,68.574,70.875,76.41,81.319,86.094,93.284
Yemen,3.407,3.688,4.13338,4.64624,4.70036,5.436,4.137,3.838
Africa,471.81692,492.28213,519.31664,525.50742,524.8833,560.17744,584.03271,599.96508
Algeria,27.5164,26.91052,28.3348,30.49982,28.315,33.84,38.135,42.868
Angola,2.06798,2.85054,2.7178,3.64768,4.13154,4.68,4.875,4.842
Benin,0.58264,0.61,0.66198,0.73844,0.77938,0.87006,0.865,0.911
Botswana,2.61398,2.684,2.829,2.913,2.952,3.152,3.157,3.213
Burkina Faso,0.58021,0.62216,0.66481,0.68352,0.76251,0.88441,0.96186,0.98546
Burundi,0.16121,0.16242,0.18674,0.18109,0.20546,0.22799,0.23636,0.28286
Cameroon,3.25408,4.40374,4.6358,5.01868,5.10124,5.1812,5.338,5.535
Cape Verde,0.20646,0.21948,0.23529,0.2511,0.26133,0.28179,0.28551,0.28551
Central African Republic,0.14787,0.15438,0.1488,0.1488,0.14787,0.14787,0.16275,0.16833
Chad,0.11253,0.11346,0.11253,0.13113,0.15996,0.17484,0.186,0.19065
Comoros,0.04185,0.04464,0.04092,0.03999,0.03813,0.03813,0.03999,0.03999
Congo (Brazzaville),0.41632,0.46214,0.47868,0.566,0.58446,0.575,0.687,0.74
Congo (Kinshasa),4.82758,5.6778,6.06784,6.03624,6.5889,6.6749,7.129,7.292
Cote dIvoire (IvoryCoast),2.89178,3.15102,3.34586,3.58996,3.816,4.182,3.912,4.731
Djibouti,0.2232,0.24459,0.25482,0.29295,0.29667,0.30504,0.3069,0.31155
Egypt,89.45256,96.25424,104.76492,110.0542,117.09596,122.369,133.942,135.557
Equatorial Guinea,0.07905,0.0837,0.08742,0.08742,0.08742,0.09021,0.09021,0.093
Eritrea,0.22478,0.21598,0.22784,0.2249,0.24242,0.25346,0.269,0.284
Ethiopia,2.53128,2.9084,3.14828,3.33808,3.53166,4.43144,4.9743,5.2273
Gabon,1.217,1.299,1.374,1.443,1.437,1.517,1.577,1.68
Gambia,0.17763,0.18879,0.19995,0.21111,0.21111,0.2139,0.2139,0.21855
Ghana,5.17046,6.3364,5.30894,5.96632,6.093,6.616,7.707,8.521
Guinea,0.81933,0.78399,0.87606,0.89931,0.89466,0.85467,0.8835,0.90303
Guinea-Bissau,0.0558,0.05766,0.0558,0.0558,0.0558,0.0558,0.05115,0.0465
Kenya,4.7509,5.16128,5.4376,5.54344,5.60926,6.14978,6.329,6.627
Lesotho,0.43987,0.52825,0.56522,0.59312,0.72664,0.89242,0.7699,0.70698
Liberia,0.17774,0.1769,0.22676,0.22676,0.22655,0.22655,0.27655,0.2769
Libya,18.517,20.84,21.087,24.817,25.082,26.435,22.287,27.536
Madagascar,1.03323,1.05462,1.10112,1.14576,1.14855,1.10112,1.17831,1.88325
Malawi,1.40709,1.44243,1.47405,1.63959,1.60704,1.84791,1.92882,2.0274
Mali,0.42501,0.43989,0.44547,0.45663,0.46407,0.46779,0.8556,0.88257
Mauritania,0.46407,0.54498,0.56358,0.63147,0.75981,0.82305,0.8928,0.96255
Mauritius,1.94107,2.01503,2.10817,2.19615,2.23439,2.3409,2.43179,2.472
Morocco,18.31454,19.87216,21.26538,21.75128,22.2431,23.5241,25.2741,26.6971
Mozambique,9.10874,9.5278,10.03922,9.29522,9.28022,10.49986,10.821,11.284
Namibia,2.96102,3.25064,3.3292,3.89408,3.49222,3.37156,3.629,3.798
Niger,0.54267,0.59158,0.64437,0.65916,0.75727,0.80489,0.8883,0.93015
Nigeria,16.935,14.855,19.26094,18.14066,17.65712,20.37518,23.125,24.781
Reunion,2.26734,2.28873,2.36964,2.53425,2.58912,2.61051,2.64213,2.75559
Rwanda,0.19216,0.2108,0.22913,0.25238,0.28053,0.32829,0.35419,0.36549
Saint Helena,0.00744,0.00744,0.00744,0.00744,0.00744,0.00744,0.00744,0.00744
Sao Tome and Principe,0.03627,0.0372,0.03999,0.04185,0.04557,0.05022,0.0558,0.06045
Senegal,1.508,1.658,1.96248,1.726,2.17286,2.299,2.362,2.586
Seychelles,0.20181,0.22041,0.23715,0.23529,0.24087,0.26319,0.28272,0.29388
Sierra Leone,0.07254,0.03627,0.05301,0.12555,0.11997,0.15438,0.13485,0.13485
Somalia,0.25389,0.26226,0.27156,0.27993,0.28365,0.28551,0.2883,0.29295
South Africa,205.04504,210.6331,220.41707,213.63307,204.60177,214.89294,218.20154,211.573
Sudan and South Sudan,3.385,3.783,4.1248,4.55142,5.35,6.421,7.044,7.917
Swaziland,1.2347,1.14781,1.26055,1.36709,1.34894,1.37028,1.28595,1.29525
Tanzania,2.52,2.557,3.264,3.481,2.963,4.001,3.892,4.545
Togo,0.6079,0.6158,0.59886,0.6351,0.764,0.742,0.884,0.976
Tunisia,11.266,11.519,11.04312,11.52436,12.50544,13.28658,12.941,13.308
Uganda,1.72886,1.47601,1.83898,2.08394,1.97873,2.19158,2.28449,2.82085
Western Sahara,0.07905,0.0837,0.0837,0.0837,0.0837,0.0837,0.0837,0.0837
